location_id	year	sitc_eci	hs_eci	growth_proj	sitc_eci_rank	hs_eci_rank	code
2	1995	-2.053099	-2.2342459999999997		"127"	128	"AGO"
2	1996	-2.314454	-2.3109900000000003		"129"	129	"AGO"
2	1997	-1.800252	-1.574236		"127"	123	"AGO"
2	1998	-1.8566189999999998	-1.679223		"128"	126	"AGO"
2	1999	-1.673034	-1.383262		"124"	120	"AGO"
2	2000	-1.9108209999999999	-1.998198		"131"	131	"AGO"
2	2001	-2.190929	-1.523823		"132"	128	"AGO"
2	2002	-1.8043639999999999	-2.018135		"132"	132	"AGO"
2	2003	-1.820514	-1.8762919999999998		"132"	131	"AGO"
2	2004	-0.8688110000000001	-0.8513709999999999	4.46	"104"	105	"AGO"
2	2005	-1.942705	-1.647198	2.98	"132"	129	"AGO"
2	2006	-2.2010959999999997	-2.0822979999999998	2.89	"133"	132	"AGO"
2	2007	-1.7943200000000001	-1.6925709999999998	2.74	"130"	128	"AGO"
2	2008	-1.8758	-2.0318669999999996	2.77	"131"	131	"AGO"
2	2009	-1.607221	-0.809438	2.74	"128"	100	"AGO"
2	2010	-1.59643	-1.3711010000000001	2.56	"129"	124	"AGO"
2	2011	-1.578048	-1.252991	2.82	"128"	123	"AGO"
2	2012	-1.610059	-1.521092	2.81	"127"	127	"AGO"
2	2013	-1.240877	-1.172043	3.3	"120"	116	"AGO"
2	2014	-1.547068	-1.8184900000000002	2.39	"129"	133	"AGO"
2	2015	-1.6311149999999999	-1.6542	5.14	"131"	132	"AGO"
2	2016	-0.986722	-1.313517	3.66	"111"	127	"AGO"
2	2017	-1.580759	-1.408777	3.28	"129"	128	"AGO"
2	2018	-1.6785400000000001	-1.489191	3.47	"130"	126	"AGO"
2	2019	-1.503967	-1.096127	4.55	"128"	116	"AGO"
2	2020	-2.505675	-1.7948709999999999	2.62	"133"	132	"AGO"
4	1995	-0.486015	-0.39273		"84"	85	"ALB"
4	1996	-0.42357399999999995	-0.309992		"81"	76	"ALB"
4	1997	-0.375654	-0.32351599999999997		"79"	76	"ALB"
4	1998	-0.3267	-0.37657399999999996		"76"	79	"ALB"
4	1999	-0.335037	-0.281783		"77"	74	"ALB"
4	2000	-0.123951	-0.083425		"69"	67	"ALB"
4	2001	-0.137138	-0.054125		"71"	68	"ALB"
4	2002	-0.05800399999999999	-0.127828		"68"	69	"ALB"
4	2003	-0.192349	-0.053595000000000004		"73"	65	"ALB"
4	2004	-0.142479	-0.131892	2.92	"68"	72	"ALB"
4	2005	-0.3094	-0.156823	2.53	"79"	72	"ALB"
4	2006	-0.310731	-0.340932	2.25	"79"	79	"ALB"
4	2007	-0.282066	-0.20616700000000002	2.53	"75"	74	"ALB"
4	2008	-0.305046	-0.252894	3.75	"76"	74	"ALB"
4	2009	-0.354663	-0.41612200000000005	3.95	"80"	82	"ALB"
4	2010	-0.48301499999999997	-0.5316	2.02	"84"	88	"ALB"
4	2011	-0.35930700000000004	-0.331435	2.08	"77"	79	"ALB"
4	2012	-0.331512	-0.355898	2.25	"80"	81	"ALB"
4	2013	-0.44779300000000005	-0.53682	2.21	"83"	87	"ALB"
4	2014	-0.44000200000000006	-0.476024	1.83	"81"	84	"ALB"
4	2015	-0.598549	-0.601875	2.67	"89"	91	"ALB"
4	2016	-0.5783550000000001	-0.534645	3.73	"88"	84	"ALB"
4	2017	-0.351054	-0.44769899999999996	3.31	"76"	85	"ALB"
4	2018	-0.403248	-0.456481	3.38	"81"	82	"ALB"
4	2019	-0.44951599999999997	-0.459614	3.325	"83"	85	"ALB"
4	2020	-0.21448899999999999	-0.265229	3.22	"74"	78	"ALB"
7	1995	-0.21034099999999997	-0.205166		"69"	69	"ARE"
7	1996	-0.43356400000000006	-0.245358		"82"	71	"ARE"
7	1997	-0.317351	-0.042154000000000004		"75"	67	"ARE"
7	1998	-0.122073	-0.274973		"66"	73	"ARE"
7	1999	-0.33226	-0.21921		"76"	71	"ARE"
7	2000	-0.421385	-0.111384		"81"	70	"ARE"
7	2001	-0.217259	-0.193984		"74"	73	"ARE"
7	2002	-0.288838	0.044683		"75"	63	"ARE"
7	2003	-0.028825999999999997	0.049637		"64"	60	"ARE"
7	2004	-0.10993399999999999	0.1799	1.93	"64"	55	"ARE"
