location_id,partner_id,product_id,year,export_value,import_value,sitc_eci,sitc_coi,location_code,partner_code,sitc_product_code
1,14,682,1969,0,340447,-0.715824,-0.809239,AFG,AUS,0411
8,14,682,1969,0,1353156,0.199094,0.23731300000000002,ARG,AUS,0411
18,14,682,1969,0,2002830,1.558182,2.5095509999999996,BEL,AUS,0411
24,14,682,1969,0,7739,-0.293679,-0.5558489999999999,BHR,AUS,0411
41,14,682,1969,0,78990,2.225965,2.192022,CHE,AUS,0411
42,14,682,1969,0,3095585,-0.204457,-0.6585439999999999,CHL,AUS,0411
43,14,682,1969,0,52995284,0.5972390000000001,1.7591139999999998,CHN,AUS,0411
49,14,682,1969,0,557980,-0.102576,-0.44958100000000006,COL,AUS,0411
61,14,682,1969,0,1382479,2.314731,-1.690981,DEU,AUS,0411
75,14,682,1969,0,8669,-0.46808900000000003,-0.736739,FJI,AUS,0411
77,14,682,1969,0,40092,1.8168810000000002,1.280003,FRA,AUS,0411
81,14,682,1969,0,25902842,2.109727,0.776883,GBR,AUS,0411
97,14,682,1969,0,1707059,1.437077,1.1915870000000002,HKG,AUS,0411
104,14,682,1969,0,2050595,0.12667,0.26710100000000003,IND,AUS,0411
106,14,682,1969,0,202569,1.019945,1.368364,IRL,AUS,0411
107,14,682,1969,0,12528,-0.682528,-0.748131,IRN,AUS,0411
114,14,682,1969,0,36849692,1.9296520000000001,2.2147919999999996,JPN,AUS,0411
121,14,682,1969,0,288811,0.9338129999999999,0.579518,KOR,AUS,0411
122,14,682,1969,0,2787332,-1.104334,-0.523075,KWT,AUS,0411
124,14,682,1969,0,2614882,0.811828,1.4371120000000002,LBN,AUS,0411
128,14,682,1969,0,1594798,-1.2026219999999999,-0.712356,LKA,AUS,0411
142,14,682,1969,0,282368,1.3613309999999998,0.882164,MLT,AUS,0411
151,14,682,1969,0,1402,-0.75878,-0.6704319999999999,MUS,AUS,0411
152,14,682,1969,0,712863,-0.9406549999999999,-0.850483,MWI,AUS,0411
153,14,682,1969,0,5875703,-0.616386,-0.618805,MYS,AUS,0411
156,14,682,1969,0,38220,-0.908518,-0.362191,NCL,AUS,0411
162,14,682,1969,0,6940208,1.415815,2.7428049999999997,NLD,AUS,0411
163,14,682,1969,0,3459622,1.3578569999999999,1.6963599999999999,NOR,AUS,0411
166,14,682,1969,0,1586,0.19789600000000002,-0.43786,NZL,AUS,0411
167,14,682,1969,0,121496,-1.42201,-0.46893,OMN,AUS,0411
168,14,682,1969,0,2338339,0.012966,-0.396005,PAK,AUS,0411
173,14,682,1969,0,6365293,-0.612333,-0.811268,PER,AUS,0411
174,14,682,1969,0,1125295,-0.329045,-0.683286,PHL,AUS,0411
176,14,682,1969,0,5438,-1.021226,-0.770674,PNG,AUS,0411
182,14,682,1969,0,20108,-0.602889,-0.39669,PYF,AUS,0411
188,14,682,1969,0,2251481,-1.1431799999999999,-0.462379,SAU,AUS,0411
192,14,682,1969,0,3358750,0.255342,0.357131,SGP,AUS,0411
208,14,682,1969,0,58823,2.073118,2.6611130000000003,SWE,AUS,0411
216,14,682,1969,0,1164672,-0.7171850000000001,-0.67983,THA,AUS,0411
226,14,682,1969,0,52789,-1.306431,-0.908064,TZA,AUS,0411
240,14,682,1969,0,3219,-1.1544590000000001,-0.649702,VUT,AUS,0411
242,14,682,1969,0,3073,-0.324887,-0.542934,WSM,AUS,0411
243,14,682,1969,0,808188,-0.527035,-0.751598,YEM,AUS,0411
244,14,682,1969,0,1148833,-0.788668,-0.654939,YMD,AUS,0411
247,14,682,1969,0,832445,-1.072877,-0.722125,ZMB,AUS,0411
248,14,682,1969,0,1705826,1.350662,1.6223610000000002,ZWE,AUS,0411
249,14,682,1969,0,540509,1.314545,1.825704,TWN,AUS,0411
1,15,682,1969,0,116205,-0.715824,-0.809239,AFG,AUT,0411
39,15,682,1969,295066,0,0.70765,0.9508,CAN,AUT,0411
61,15,682,1969,130175,0,2.314731,-1.690981,DEU,AUT,0411
111,15,682,1969,0,767,2.064301,1.562306,ITA,AUT,0411
216,15,682,1969,0,545,-0.7171850000000001,-0.67983,THA,AUT,0411
8,18,682,1969,1022653,0,0.199094,0.23731300000000002,ARG,BEL,0411
14,18,682,1969,2002830,0,0.111699,-0.04987,AUS,BEL,0411
32,18,682,1969,16059,0,-0.407315,-0.42036899999999994,BRA,BEL,0411
39,18,682,1969,8080957,0,0.70765,0.9508,CAN,BEL,0411
61,18,682,1969,155819,1155982,2.314731,-1.690981,DEU,BEL,0411
77,18,682,1969,22780888,1947403,1.8168810000000002,1.280003,FRA,BEL,0411
81,18,682,1969,15848,1589850,2.109727,0.776883,GBR,BEL,0411
106,18,682,1969,0,142833,1.019945,1.368364,IRL,BEL,0411
114,18,682,1969,0,438967,1.9296520000000001,2.2147919999999996,JPN,BEL,0411
162,18,682,1969,390683,5295204,1.415815,2.7428049999999997,NLD,BEL,0411
186,18,682,1969,633919,17372,0.332692,0.541614,RUS,BEL,0411
188,18,682,1969,0,1388,-1.1431799999999999,-0.462379,SAU,BEL,0411
208,18,682,1969,5298,0,2.073118,2.6611130000000003,SWE,BEL,0411
223,18,682,1969,0,191982,-0.175062,-0.569483,TUN,BEL,0411
231,18,682,1969,3369241,0,1.9097669999999998,1.7483990000000003,USA,BEL,0411
1,39,682,1969,0,4718,-0.715824,-0.809239,AFG,CAN,0411
4,39,682,1969,0,1687546,0.165409,-0.43746599999999997,ALB,CAN,0411
15,39,682,1969,0,295066,2.046971,1.612715,AUT,CAN,0411
18,39,682,1969,0,8080957,1.558182,2.5095509999999996,BEL,CAN,0411
33,39,682,1969,0,1025,0.744643,0.55386,BRB,CAN,0411
41,39,682,1969,0,2736528,2.225965,2.192022,CHE,CAN,0411
43,39,682,1969,0,55397100,0.5972390000000001,1.7591139999999998,CHN,CAN,0411
44,39,682,1969,0,188041,-0.723306,-0.6772859999999999,CIV,CAN,0411
61,39,682,1969,1564,10595484,2.314731,-1.690981,DEU,CAN,0411
64,39,682,1969,0,5459,1.620284,2.448705,DNK,CAN,0411
66,39,682,1969,0,427369,-0.23156300000000002,-0.523313,DZA,CAN,0411
67,39,682,1969,0,341697,-0.567194,-0.795647,ECU,CAN,0411
74,39,682,1969,0,280702,1.489982,1.369816,FIN,CAN,0411
77,39,682,1969,0,4987109,1.8168810000000002,1.280003,FRA,CAN,0411
81,39,682,1969,0,42042808,2.109727,0.776883,GBR,CAN,0411
83,39,682,1969,0,1034023,-1.028614,-0.773636,GHA,CAN,0411
90,39,682,1969,0,28792,0.42850600000000005,0.159075,GRC,CAN,0411
